customer_id,customer_taxonomies,acquisition_channel,is_loyalty_member,registration_date,province,age,gender,location
CUST-0001,occasional,LINE_OA,True,2023-02-17,Bangkok,24,M,Vicinity
CUST-0002,regular,LINE_OA,False,2021-12-11,Khon Kaen,26,M,Bangkok
CUST-0003,occasional,LINE_OA,False,2022-10-04,Bangkok,25,Unknown,Vicinity
CUST-0004,regular,online,True,2022-01-17,Khon Kaen,29,M,Chonburi
CUST-0005,regular,walk_in,True,2022-11-21,Chiang Mai,51,M,Chiang Mai
CUST-0006,occasional,online,False,2023-12-16,Chiang Mai,50,F,Bangkok
CUST-0007,occasional,LINE_OA,False,2022-04-02,Chonburi,40,F,Bangkok
CUST-0008,occasional,walk_in,True,2023-09-10,Khon Kaen,41,Unknown,Bangkok
CUST-0009,occasional,online,False,2021-03-24,Khon Kaen,54,F,Khon Kaen
CUST-0010,regular,LINE_OA,True,2021-05-29,Khon Kaen,52,M,Khon Kaen
CUST-0011,high_value,LINE_OA,False,2021-07-09,Chonburi,61,M,Vicinity
CUST-0012,regular,walk_in,False,2023-06-02,Chonburi,57,F,Vicinity
CUST-0013,regular,walk_in,False,2021-09-20,Chiang Mai,39,F,Chonburi
CUST-0014,regular,walk_in,False,2022-02-04,Bangkok,44,M,Bangkok
CUST-0015,new,LINE_OA,True,2023-02-03,Khon Kaen,52,F,Khon Kaen
CUST-0016,regular,walk_in,True,2022-09-01,Khon Kaen,18,M,Bangkok
CUST-0017,new,LINE_OA,False,2023-02-24,Bangkok,52,F,Bangkok
CUST-0018,occasional,LINE_OA,False,2021-04-11,Khon Kaen,54,M,Vicinity
CUST-0019,occasional,LINE_OA,False,2023-03-31,Chonburi,64,F,Bangkok
CUST-0020,regular,walk_in,True,2023-03-31,Chonburi,31,M,Bangkok
CUST-0021,regular,walk_in,True,2022-02-24,Khon Kaen,20,M,Chonburi
CUST-0022,regular,walk_in,True,2021-05-04,Chonburi,18,M,Bangkok
CUST-0023,regular,LINE_OA,False,2022-02-26,Chonburi,22,F,Vicinity
CUST-0024,occasional,online,True,2023-12-23,Khon Kaen,43,F,Bangkok
CUST-0025,regular,LINE_OA,False,2023-02-07,Chiang Mai,31,F,Bangkok
CUST-0026,high_value,walk_in,False,2022-04-28,Bangkok,56,Unknown,Bangkok
CUST-0027,occasional,LINE_OA,False,2022-06-03,Chonburi,44,M,Bangkok
