date,is_public_holiday,holiday_name,days_to_next_holiday,holiday_demand_weight,is_weekend,is_payday_window
2023-01-01,True,วันขึ้นปีใหม่,0,1.5,True,True
2023-01-02,True,ชดเชยวันขึ้นปีใหม่,0,1.5,False,True
2023-01-03,True,ชดเชยวันสิ้นปี,0,1.5,False,False
2023-01-04,False,,10,1.0,False,False
2023-01-05,False,,9,1.0,False,False
2023-01-06,False,,8,1.0,False,False
2023-01-07,False,,7,1.0,True,False
2023-01-08,False,,6,1.0,True,False
2023-01-09,False,,5,1.0,False,False
2023-01-10,False,,4,1.0,False,False
2023-01-11,False,,3,1.0,False,False
2023-01-12,False,,2,1.0,False,False
2023-01-13,False,,1,1.0,False,False
2023-01-14,True,วันเด็กแห่งชาติ,0,1.5,True,False
2023-01-15,False,,50,1.0,True,False
2023-01-16,False,,49,1.0,False,False
2023-01-17,False,,48,1.0,False,False
2023-01-18,False,,47,1.0,False,False
2023-01-19,False,,46,1.0,False,False
2023-01-20,False,,45,1.0,False,False
2023-01-21,False,,44,1.0,True,False
2023-01-22,False,,43,1.0,True,False
2023-01-23,False,,42,1.0,False,False
2023-01-24,False,,41,1.0,False,False
2023-01-25,False,,40,1.0,False,False
2023-01-26,False,,39,1.0,False,False
2023-01-27,False,,38,1.0,False,False
2023-01-28,False,,37,1.0,True,True
2023-01-29,False,,36,1.0,True,True
2023-01-30,False,,35,1.0,False,True
2023-01-31,False,,34,1.0,False,True
2023-02-01,False,,33,1.0,False,True
2023-02-02,False,,32,1.0,False,True
2023-02-03,False,,31,1.0,False,False
2023-02-04,False,,30,1.0,True,False
2023-02-05,False,,29,1.0,True,False
2023-02-06,False,,28,1.0,False,False
2023-02-07,False,,27,1.0,False,False
2023-02-08,False,,26,1.0,False,False
2023-02-09,False,,25,1.0,False,False
2023-02-10,False,,24,1.0,False,False
2023-02-11,False,,23,1.0,True,False
2023-02-12,False,,22,1.0,True,False
2023-02-13,False,,21,1.0,False,False
2023-02-14,False,,20,1.0,False,False
2023-02-15,False,,19,1.0,False,False
2023-02-16,False,,18,1.0,False,False
2023-02-17,False,,17,1.0,False,False
2023-02-18,False,,16,1.0,True,False
2023-02-19,False,,15,1.0,True,False
2023-02-20,False,,14,1.0,False,False
2023-02-21,False,,13,1.0,False,False
2023-02-22,False,,12,1.0,False,False
2023-02-23,False,,11,1.0,False,False
2023-02-24,False,,10,1.0,False,False
2023-02-25,False,,9,1.0,True,False
2023-02-26,False,,8,1.0,True,False
2023-02-27,False,,7,1.0,False,False
2023-02-28,False,,6,1.0,False,True
2023-03-01,False,,5,1.0,False,True
2023-03-02,False,,4,1.0,False,True
2023-03-03,False,,3,1.0,False,False
2023-03-04,False,,2,1.0,True,False
2023-03-05,False,,1,1.0,True,False
2023-03-06,True,วันมาฆบูชา,0,1.5,False,False
2023-03-07,False,,30,1.0,False,False
2023-03-08,False,,29,1.0,False,False
2023-03-09,False,,28,1.0,False,False
2023-03-10,False,,27,1.0,False,False
2023-03-11,False,,26,1.0,True,False
2023-03-12,False,,25,1.0,True,False
2023-03-13,False,,24,1.0,False,False
2023-03-14,False,,23,1.0,False,False
2023-03-15,False,,22,1.0,False,False
2023-03-16,False,,21,1.0,False,False
2023-03-17,False,,20,1.0,False,False
2023-03-18,False,,19,1.0,True,False
2023-03-19,False,,18,1.0,True,False
2023-03-20,False,,17,1.0,False,False
2023-03-21,False,,16,1.0,False,False
2023-03-22,False,,15,1.0,False,False
2023-03-23,False,,14,1.0,False,False
2023-03-24,False,,13,1.0,False,False
2023-03-25,False,,12,1.0,True,False
2023-03-26,False,,11,1.0,True,False
2023-03-27,False,,10,1.0,False,False
2023-03-28,False,,9,1.0,False,True
2023-03-29,False,,8,1.0,False,True
2023-03-30,False,,7,1.0,False,True
2023-03-31,False,,6,1.0,False,True
2023-04-01,False,,5,1.0,True,True
2023-04-02,False,,4,1.0,True,True
2023-04-03,False,,3,1.0,False,False
2023-04-04,False,,2,1.0,False,False
2023-04-05,False,,1,1.0,False,False
2023-04-06,True,วันพระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราช และวันที่ระลึกมหาจักรีบรมราชวงศ์,0,1.5,False,False
2023-04-07,False,,6,1.0,False,False
2023-04-08,False,,5,1.0,True,False
2023-04-09,False,,4,1.0,True,False
2023-04-10,False,,3,1.0,False,False
2023-04-11,False,,2,1.0,False,False
2023-04-12,False,,1,1.0,False,False
2023-04-13,True,วันสงกรานต์,0,1.5,False,False
2023-04-14,True,วันสงกรานต์,0,1.5,False,False
2023-04-15,True,วันสงกรานต์,0,1.5,True,False
2023-04-16,False,,1,1.0,True,False
2023-04-17,True,ชดเชยวันสงกรานต์,0,1.5,False,False
2023-04-18,False,,13,1.0,False,False
2023-04-19,False,,12,1.0,False,False
2023-04-20,False,,11,1.0,False,False
2023-04-21,False,,10,1.0,False,False
2023-04-22,False,,9,1.0,True,False
2023-04-23,False,,8,1.0,True,False
2023-04-24,False,,7,1.0,False,False
2023-04-25,False,,6,1.0,False,False
2023-04-26,False,,5,1.0,False,False
2023-04-27,False,,4,1.0,False,False
2023-04-28,False,,3,1.0,False,True
2023-04-29,False,,2,1.0,True,True
2023-04-30,False,,1,1.0,True,True
2023-05-01,True,วันแรงงานแห่งชาติ,0,1.5,False,True
2023-05-02,False,,2,1.0,False,True
2023-05-03,False,,1,1.0,False,False
2023-05-04,True,วันฉัตรมงคล,0,1.5,False,False
2023-05-05,True,วันหยุดพิเศษ (เพิ่มเติม),0,1.5,False,False
2023-05-06,False,,28,1.0,True,False
2023-05-07,False,,27,1.0,True,False
