promotion_id,product_id,discount,start_date,end_date,budget_thb,cost_per_redemption,channel_cost_thb,target_segment
PROMO-0001,SKU-0018,0.25,2024-04-14,2024-04-21,50000,23.68,10000,new
PROMO-0001,SKU-0032,0.15,2024-04-14,2024-04-21,25000,29.93,2000,new
PROMO-0001,SKU-0072,0.05,2024-04-14,2024-04-21,10000,26.53,2000,regular
PROMO-0002,SKU-0050,0.2,2024-03-08,2024-04-07,100000,18.23,0,high_value
PROMO-0003,SKU-0015,0.1,2024-07-03,2024-07-17,100000,5.08,5000,regular
PROMO-0003,SKU-0038,0.25,2024-07-03,2024-07-17,10000,26.76,5000,regular
PROMO-0003,SKU-0056,0.1,2024-07-03,2024-07-17,50000,24.06,0,occasional
PROMO-0004,SKU-0047,0.15,2024-05-15,2024-05-18,25000,6.45,0,high_value
PROMO-0005,SKU-0017,0.25,2024-05-12,2024-05-15,100000,29.11,2000,occasional
PROMO-0005,SKU-0061,0.2,2024-05-12,2024-05-15,50000,15.95,10000,high_value
PROMO-0005,SKU-0071,0.1,2024-05-12,2024-05-15,25000,6.6,0,regular
PROMO-0005,SKU-0022,0.25,2024-05-12,2024-05-15,25000,5.18,0,regular
PROMO-0005,SKU-0034,0.05,2024-05-12,2024-05-15,10000,26.49,0,regular
PROMO-0006,SKU-0070,0.3,2023-10-13,2023-11-03,100000,11.07,10000,new
PROMO-0006,SKU-0017,0.1,2023-10-13,2023-11-03,10000,7.42,10000,occasional
PROMO-0007,SKU-0007,0.3,2024-03-09,2024-03-30,50000,25.01,0,regular
PROMO-0007,SKU-0013,0.1,2024-03-09,2024-03-30,25000,18.41,2000,new
PROMO-0007,SKU-0008,0.1,2024-03-09,2024-03-30,50000,16.57,0,new
PROMO-0007,SKU-0052,0.25,2024-03-09,2024-03-30,10000,6.26,0,high_value
PROMO-0008,SKU-0063,0.05,2023-08-31,2023-09-07,25000,14.47,10000,occasional
PROMO-0008,SKU-0062,0.2,2023-08-31,2023-09-07,50000,15.58,10000,regular
PROMO-0008,SKU-0028,0.1,2023-08-31,2023-09-07,50000,10.44,0,high_value
PROMO-0008,SKU-0052,0.3,2023-08-31,2023-09-07,50000,6.43,10000,regular
PROMO-0009,SKU-0024,0.05,2023-02-28,2023-03-30,10000,21.88,2000,new
PROMO-0010,SKU-0075,0.05,2023-05-03,2023-06-02,10000,15.48,5000,occasional
PROMO-0010,SKU-0077,0.1,2023-05-03,2023-06-02,50000,10.97,10000,regular
PROMO-0011,SKU-0010,0.25,2023-11-04,2023-11-25,10000,6.83,2000,occasional
PROMO-0011,SKU-0002,0.1,2023-11-04,2023-11-25,50000,27.02,2000,occasional
PROMO-0011,SKU-0059,0.15,2023-11-04,2023-11-25,25000,15.95,5000,high_value
PROMO-0012,SKU-0018,0.15,2024-07-21,2024-08-04,10000,27.24,2000,occasional
PROMO-0013,SKU-0044,0.3,2023-10-16,2023-11-15,50000,17.64,5000,high_value
PROMO-0013,SKU-0027,0.05,2023-10-16,2023-11-15,100000,25.73,0,high_value
PROMO-0014,SKU-0021,0.3,2023-12-08,2023-12-15,100000,19.02,0,high_value
