po_id,warehouse_id,product_id,po_date,arrival_date,manufacturing_date,expire_date,qty,unit,po_price_per_unit,po_price_total,lead_time_days
PO-0001,WH-0002,SKU-0044,2023-03-12,2023-03-22,2023-02-19,2024-03-21,56,piece,60.63,3395.28,10
PO-0002,WH-0001,SKU-0059,2023-04-19,2023-04-27,2023-04-07,2023-05-27,412,piece,21.47,8845.64,8
PO-0003,WH-0002,SKU-0079,2024-06-18,2024-06-30,2024-06-09,2024-08-29,463,piece,5.67,2625.21,12
PO-0004,WH-0001,SKU-0076,2024-04-21,2024-04-29,2024-03-25,2024-05-13,187,piece,71.61,13391.07,8
PO-0005,WH-0003,SKU-0058,2023-03-30,2023-04-05,2023-03-01,2023-04-19,174,piece,28.79,5009.46,6
PO-0006,WH-0002,SKU-0064,2024-01-24,2024-01-31,2024-01-23,2024-02-07,485,piece,71.71,34779.35,7
PO-0007,WH-0003,SKU-0034,2023-08-06,2023-08-13,2023-07-11,2024-08-12,224,piece,8.93,2000.32,7
PO-0008,WH-0003,SKU-0067,2023-10-10,2023-10-20,2023-10-09,2023-11-19,147,piece,10.54,1549.38,10
PO-0009,WH-0003,SKU-0031,2024-02-21,2024-03-01,2024-02-03,2024-08-28,403,piece,51.38,20706.14,9
PO-0010,WH-0002,SKU-0003,2024-05-17,2024-05-26,2024-04-21,2025-05-26,97,piece,42.15,4088.55,9
PO-0011,WH-0003,SKU-0075,2023-09-07,2023-09-13,2023-08-16,2023-11-12,238,piece,46.13,10978.94,6
PO-0012,WH-0002,SKU-0071,2023-12-19,2023-12-27,2023-11-25,2024-01-10,219,piece,43.43,9511.17,8
PO-0013,WH-0002,SKU-0030,2023-10-05,2023-10-11,2023-09-26,2023-10-25,111,piece,14.51,1610.61,6
PO-0014,WH-0002,SKU-0024,2023-05-03,2023-05-16,2023-04-15,2024-05-15,148,piece,22.25,3293.0,13
PO-0015,WH-0001,SKU-0068,2023-10-11,2023-10-24,2023-09-22,2023-12-23,355,piece,41.9,14874.5,13
PO-0016,WH-0003,SKU-0047,2023-07-18,2023-07-24,2023-07-10,2023-07-31,141,piece,7.13,1005.33,6
PO-0017,WH-0003,SKU-0006,2024-06-30,2024-07-04,2024-06-21,2024-07-11,77,piece,80.21,6176.17,4
PO-0018,WH-0003,SKU-0063,2023-05-10,2023-05-22,2023-04-12,2023-05-29,102,piece,9.27,945.54,12
PO-0019,WH-0001,SKU-0057,2023-10-19,2023-10-28,2023-10-03,2023-11-27,224,piece,6.69,1498.56,9
PO-0020,WH-0003,SKU-0009,2023-09-16,2023-09-25,2023-09-12,2023-10-09,255,piece,46.54,11867.7,9
PO-0021,WH-0001,SKU-0073,2023-02-24,2023-02-28,2023-02-19,2023-03-14,205,piece,6.32,1295.6,4
PO-0022,WH-0003,SKU-0054,2023-05-02,2023-05-12,2023-04-07,2023-07-11,360,piece,8.24,2966.4,10
PO-0023,WH-0002,SKU-0049,2023-08-20,2023-09-03,2023-08-03,2023-10-03,280,piece,43.27,12115.6,14
PO-0024,WH-0003,SKU-0080,2024-03-15,2024-03-21,2024-02-25,2024-03-28,80,piece,54.69,4375.2,6
PO-0025,WH-0001,SKU-0028,2023-04-12,2023-04-26,2023-04-05,2023-05-26,185,piece,10.74,1986.9,14
PO-0026,WH-0002,SKU-0010,2023-09-03,2023-09-07,2023-08-16,2023-11-06,130,piece,14.02,1822.6,4
PO-0027,WH-0003,SKU-0030,2024-04-26,2024-05-02,2024-04-24,2024-05-16,197,piece,14.42,2840.74,6
PO-0028,WH-0003,SKU-0030,2024-04-09,2024-04-12,2024-03-18,2024-04-26,185,piece,14.92,2760.2,3
PO-0029,WH-0002,SKU-0070,2023-07-22,2023-07-30,2023-07-18,2023-08-06,165,piece,55.63,9178.95,8
PO-0030,WH-0003,SKU-0022,2023-05-26,2023-05-29,2023-05-24,2023-06-12,455,piece,4.29,1951.95,3
PO-0031,WH-0003,SKU-0016,2024-08-05,2024-08-11,2024-07-21,2025-02-07,289,piece,20.03,5788.67,6
PO-0032,WH-0003,SKU-0070,2024-02-17,2024-02-23,2024-01-31,2024-03-01,302,piece,50.43,15229.86,6
PO-0033,WH-0001,SKU-0042,2023-02-10,2023-02-18,2023-01-17,2023-03-04,359,piece,6.94,2491.46,8
PO-0034,WH-0003,SKU-0074,2023-08-23,2023-09-04,2023-07-27,2023-10-04,350,piece,22.32,7812.0,12
PO-0035,WH-0002,SKU-0023,2023-10-03,2023-10-14,2023-10-01,2023-12-13,290,piece,78.93,22889.7,11
PO-0036,WH-0001,SKU-0056,2023-10-12,2023-10-16,2023-09-23,2023-12-15,375,piece,15.09,5658.75,4
PO-0037,WH-0001,SKU-0043,2024-04-26,2024-05-03,2024-04-12,2025-05-03,214,piece,84.56,18095.84,7
