po_id,warehouse_id,store_id,transfer_date,receive_date,qty
PO-0001,WH-0002,STORE-0009,2023-03-23,2023-03-24,56
PO-0002,WH-0001,STORE-0010,2023-04-28,2023-04-29,283
PO-0002,WH-0001,STORE-0009,2023-04-30,2023-05-01,50
PO-0002,WH-0001,STORE-0007,2023-05-02,2023-05-04,79
PO-0003,WH-0002,STORE-0004,2024-07-02,2024-07-04,321
PO-0003,WH-0002,STORE-0009,2024-07-03,2024-07-05,58
PO-0003,WH-0002,STORE-0006,2024-07-05,2024-07-06,84
PO-0004,WH-0001,STORE-0005,2024-04-30,2024-05-02,18
PO-0004,WH-0001,STORE-0009,2024-04-30,2024-04-30,169
PO-0005,WH-0003,STORE-0004,2023-04-07,2023-04-07,174
PO-0006,WH-0002,STORE-0005,2024-02-03,2024-02-05,485
PO-0007,WH-0003,STORE-0008,2023-08-14,2023-08-15,224
PO-0008,WH-0003,STORE-0006,2023-10-22,2023-10-24,147
PO-0009,WH-0003,STORE-0005,2024-03-03,2024-03-03,403
PO-0010,WH-0002,STORE-0006,2024-05-27,2024-05-28,19
PO-0010,WH-0002,STORE-0010,2024-05-28,2024-05-28,41
PO-0010,WH-0002,STORE-0001,2024-05-30,2024-06-01,37
PO-0011,WH-0003,STORE-0006,2023-09-14,2023-09-15,238
PO-0012,WH-0002,STORE-0004,2023-12-28,2023-12-30,207
PO-0012,WH-0002,STORE-0007,2023-12-28,2023-12-28,12
PO-0013,WH-0002,STORE-0009,2023-10-12,2023-10-14,50
PO-0013,WH-0002,STORE-0009,2023-10-13,2023-10-15,30
PO-0013,WH-0002,STORE-0003,2023-10-14,2023-10-14,31
PO-0014,WH-0002,STORE-0004,2023-05-19,2023-05-20,33
PO-0014,WH-0002,STORE-0007,2023-05-21,2023-05-21,115
PO-0015,WH-0001,STORE-0010,2023-10-25,2023-10-27,253
PO-0015,WH-0001,STORE-0009,2023-10-25,2023-10-26,102
PO-0016,WH-0003,STORE-0009,2023-07-26,2023-07-27,141
PO-0017,WH-0003,STORE-0009,2024-07-06,2024-07-06,77
PO-0018,WH-0003,STORE-0004,2023-05-25,2023-05-27,83
PO-0018,WH-0003,STORE-0004,2023-05-26,2023-05-26,19
PO-0019,WH-0001,STORE-0010,2023-10-30,2023-10-30,185
PO-0019,WH-0001,STORE-0007,2023-10-30,2023-10-31,39
PO-0020,WH-0003,STORE-0006,2023-09-26,2023-09-28,92
PO-0020,WH-0003,STORE-0005,2023-09-26,2023-09-26,163
PO-0021,WH-0001,STORE-0003,2023-03-02,2023-03-03,169
PO-0021,WH-0001,STORE-0004,2023-03-02,2023-03-04,17
PO-0021,WH-0001,STORE-0003,2023-03-04,2023-03-06,19
PO-0022,WH-0003,STORE-0001,2023-05-15,2023-05-15,360
PO-0023,WH-0002,STORE-0002,2023-09-04,2023-09-05,185
PO-0023,WH-0002,STORE-0008,2023-09-07,2023-09-07,95
PO-0024,WH-0003,STORE-0009,2024-03-24,2024-03-24,80
PO-0025,WH-0001,STORE-0009,2023-04-29,2023-04-30,76
PO-0025,WH-0001,STORE-0001,2023-04-30,2023-05-01,98
PO-0025,WH-0001,STORE-0005,2023-04-30,2023-04-30,11
PO-0026,WH-0002,STORE-0010,2023-09-08,2023-09-09,111
PO-0026,WH-0002,STORE-0008,2023-09-08,2023-09-10,19
PO-0027,WH-0003,STORE-0005,2024-05-04,2024-05-06,197
PO-0028,WH-0003,STORE-0005,2024-04-13,2024-04-15,185
PO-0029,WH-0002,STORE-0009,2023-08-01,2023-08-03,165
PO-0030,WH-0003,STORE-0009,2023-05-31,2023-05-31,315
PO-0030,WH-0003,STORE-0004,2023-06-01,2023-06-03,140
PO-0031,WH-0003,STORE-0001,2024-08-14,2024-08-14,21
PO-0031,WH-0003,STORE-0008,2024-08-16,2024-08-17,95
PO-0031,WH-0003,STORE-0001,2024-08-17,2024-08-18,173
PO-0032,WH-0003,STORE-0004,2024-02-26,2024-02-28,164
PO-0032,WH-0003,STORE-0001,2024-02-28,2024-03-01,138
PO-0033,WH-0001,STORE-0005,2023-02-19,2023-02-19,294
PO-0033,WH-0001,STORE-0006,2023-02-20,2023-02-21,65
PO-0034,WH-0003,STORE-0007,2023-09-07,2023-09-09,350
PO-0035,WH-0002,STORE-0007,2023-10-15,2023-10-16,88
PO-0035,WH-0002,STORE-0008,2023-10-17,2023-10-19,202
PO-0036,WH-0001,STORE-0003,2023-10-19,2023-10-21,375
PO-0037,WH-0001,STORE-0009,2024-05-05,2024-05-05,214
PO-0038,WH-0002,STORE-0010,2023-12-15,2023-12-15,197
PO-0039,WH-0001,STORE-0009,2024-07-22,2024-07-24,211
PO-0040,WH-0002,STORE-0003,2024-03-01,2024-03-03,386
PO-0041,WH-0002,STORE-0005,2024-03-03,2024-03-04,115
PO-0041,WH-0002,STORE-0003,2024-03-05,2024-03-05,120
PO-0042,WH-0002,STORE-0001,2024-04-12,2024-04-14,186
PO-0043,WH-0003,STORE-0004,2024-04-09,2024-04-11,49
PO-0043,WH-0003,STORE-0001,2024-04-10,2024-04-11,10
PO-0043,WH-0003,STORE-0008,2024-04-10,2024-04-10,5
PO-0044,WH-0002,STORE-0003,2023-09-19,2023-09-20,201
PO-0044,WH-0002,STORE-0003,2023-09-22,2023-09-22,70
PO-0044,WH-0002,STORE-0004,2023-09-23,2023-09-23,61
PO-0045,WH-0003,STORE-0007,2023-04-13,2023-04-13,286
PO-0046,WH-0002,STORE-0003,2023-06-17,2023-06-18,310
PO-0047,WH-0001,STORE-0004,2024-05-20,2024-05-21,244
PO-0047,WH-0001,STORE-0010,2024-05-23,2024-05-25,15
PO-0047,WH-0001,STORE-0006,2024-05-26,2024-05-27,73
PO-0048,WH-0002,STORE-0008,2024-06-18,2024-06-18,241
PO-0048,WH-0002,STORE-0009,2024-06-19,2024-06-20,142
PO-0048,WH-0002,STORE-0009,2024-06-19,2024-06-20,109
PO-0049,WH-0003,STORE-0008,2023-12-31,2024-01-01,470
PO-0050,WH-0003,STORE-0007,2023-11-15,2023-11-16,95
PO-0050,WH-0003,STORE-0009,2023-11-15,2023-11-15,398
PO-0051,WH-0002,STORE-0009,2024-05-19,2024-05-19,56
PO-0051,WH-0002,STORE-0009,2024-05-20,2024-05-20,309
PO-0051,WH-0002,STORE-0007,2024-05-23,2024-05-24,75
PO-0052,WH-0002,STORE-0008,2023-12-02,2023-12-04,342
PO-0053,WH-0002,STORE-0006,2023-02-22,2023-02-24,138
PO-0053,WH-0002,STORE-0002,2023-02-23,2023-02-23,273
PO-0054,WH-0001,STORE-0002,2024-02-14,2024-02-16,195
PO-0054,WH-0001,STORE-0010,2024-02-17,2024-02-17,75
PO-0054,WH-0001,STORE-0009,2024-02-20,2024-02-21,33
PO-0055,WH-0001,STORE-0010,2024-06-11,2024-06-13,497
PO-0056,WH-0001,STORE-0003,2024-07-02,2024-07-04,259
PO-0057,WH-0002,STORE-0008,2023-03-29,2023-03-30,89
PO-0057,WH-0002,STORE-0002,2023-03-30,2023-03-30,134
PO-0058,WH-0003,STORE-0005,2023-04-03,2023-04-03,244
PO-0059,WH-0003,STORE-0010,2024-05-26,2024-05-27,10
PO-0059,WH-0003,STORE-0004,2024-05-27,2024-05-29,75
PO-0060,WH-0003,STORE-0002,2023-10-29,2023-10-31,123
PO-0060,WH-0003,STORE-0004,2023-10-29,2023-10-31,149
PO-0061,WH-0001,STORE-0004,2023-04-25,2023-04-25,45
PO-0061,WH-0001,STORE-0001,2023-04-26,2023-04-28,10
PO-0061,WH-0001,STORE-0001,2023-04-28,2023-04-28,9
PO-0062,WH-0002,STORE-0005,2023-11-07,2023-11-08,87
PO-0062,WH-0002,STORE-0002,2023-11-07,2023-11-08,11
PO-0062,WH-0002,STORE-0003,2023-11-08,2023-11-10,26
PO-0063,WH-0003,STORE-0010,2024-08-17,2024-08-19,98
PO-0063,WH-0003,STORE-0010,2024-08-18,2024-08-19,24
PO-0063,WH-0003,STORE-0002,2024-08-18,2024-08-19,15
PO-0064,WH-0001,STORE-0007,2024-02-09,2024-02-11,44
PO-0064,WH-0001,STORE-0005,2024-02-09,2024-02-10,260
PO-0065,WH-0001,STORE-0005,2023-09-07,2023-09-08,285
PO-0066,WH-0002,STORE-0004,2024-04-28,2024-04-30,99
PO-0066,WH-0002,STORE-0010,2024-04-28,2024-04-30,11
PO-0066,WH-0002,STORE-0008,2024-04-28,2024-04-30,20
PO-0067,WH-0001,STORE-0005,2023-11-18,2023-11-20,172
PO-0067,WH-0001,STORE-0003,2023-11-20,2023-11-22,111
PO-0068,WH-0003,STORE-0008,2024-02-10,2024-02-11,171
PO-0068,WH-0003,STORE-0004,2024-02-11,2024-02-13,49
PO-0068,WH-0003,STORE-0004,2024-02-13,2024-02-13,25
PO-0069,WH-0002,STORE-0002,2023-11-14,2023-11-16,474
PO-0070,WH-0002,STORE-0001,2023-01-22,2023-01-23,221
PO-0070,WH-0002,STORE-0004,2023-01-24,2023-01-24,81
PO-0070,WH-0002,STORE-0005,2023-01-25,2023-01-26,58
PO-0071,WH-0003,STORE-0009,2023-09-06,2023-09-07,139
PO-0071,WH-0003,STORE-0002,2023-09-06,2023-09-08,23
PO-0072,WH-0003,STORE-0010,2023-09-28,2023-09-28,301
PO-0072,WH-0003,STORE-0004,2023-09-29,2023-09-30,70
PO-0073,WH-0003,STORE-0001,2023-02-18,2023-02-20,40
PO-0073,WH-0003,STORE-0003,2023-02-19,2023-02-21,17
PO-0073,WH-0003,STORE-0009,2023-02-22,2023-02-23,10
PO-0074,WH-0001,STORE-0009,2023-05-21,2023-05-22,24
PO-0074,WH-0001,STORE-0009,2023-05-23,2023-05-25,193
PO-0075,WH-0003,STORE-0006,2023-08-01,2023-08-02,498
PO-0076,WH-0002,STORE-0001,2024-06-05,2024-06-06,181
PO-0077,WH-0001,STORE-0003,2023-11-15,2023-11-17,441
PO-0077,WH-0001,STORE-0010,2023-11-18,2023-11-18,10
PO-0077,WH-0001,STORE-0006,2023-11-20,2023-11-22,10
PO-0078,WH-0002,STORE-0008,2023-06-10,2023-06-10,54
PO-0078,WH-0002,STORE-0008,2023-06-12,2023-06-13,429
PO-0079,WH-0002,STORE-0002,2023-04-19,2023-04-20,54
PO-0079,WH-0002,STORE-0004,2023-04-19,2023-04-19,109
PO-0079,WH-0002,STORE-0009,2023-04-22,2023-04-22,22
PO-0080,WH-0003,STORE-0006,2024-01-26,2024-01-27,107
PO-0080,WH-0003,STORE-0006,2024-01-28,2024-01-28,208
PO-0080,WH-0003,STORE-0009,2024-01-28,2024-01-30,34
PO-0081,WH-0003,STORE-0001,2024-01-22,2024-01-23,291
PO-0082,WH-0003,STORE-0001,2023-12-16,2023-12-17,69
PO-0082,WH-0003,STORE-0006,2023-12-16,2023-12-17,54
PO-0082,WH-0003,STORE-0002,2023-12-16,2023-12-18,252
PO-0083,WH-0001,STORE-0005,2023-11-21,2023-11-23,121
PO-0084,WH-0001,STORE-0005,2023-11-18,2023-11-19,59
PO-0084,WH-0001,STORE-0008,2023-11-20,2023-11-22,111
PO-0085,WH-0003,STORE-0005,2024-02-12,2024-02-12,50
PO-0085,WH-0003,STORE-0010,2024-02-12,2024-02-14,214
PO-0086,WH-0002,STORE-0006,2023-06-19,2023-06-21,476
PO-0087,WH-0001,STORE-0010,2023-10-17,2023-10-17,82
PO-0087,WH-0001,STORE-0002,2023-10-18,2023-10-19,79
PO-0088,WH-0003,STORE-0003,2024-01-12,2024-01-12,35
PO-0088,WH-0003,STORE-0002,2024-01-15,2024-01-16,35
PO-0088,WH-0003,STORE-0002,2024-01-15,2024-01-16,258
PO-0089,WH-0002,STORE-0010,2024-01-08,2024-01-10,147
PO-0090,WH-0002,STORE-0006,2023-04-18,2023-04-18,29
PO-0090,WH-0002,STORE-0010,2023-04-18,2023-04-18,17
PO-0090,WH-0002,STORE-0008,2023-04-18,2023-04-18,14
PO-0091,WH-0003,STORE-0008,2023-09-14,2023-09-14,129
PO-0091,WH-0003,STORE-0003,2023-09-15,2023-09-17,26
PO-0092,WH-0003,STORE-0006,2023-08-14,2023-08-15,56
PO-0092,WH-0003,STORE-0008,2023-08-17,2023-08-17,162
PO-0093,WH-0001,STORE-0008,2023-01-10,2023-01-11,54
PO-0093,WH-0001,STORE-0005,2023-01-11,2023-01-12,62
PO-0094,WH-0001,STORE-0002,2023-05-06,2023-05-07,61
PO-0094,WH-0001,STORE-0009,2023-05-06,2023-05-07,29
PO-0094,WH-0001,STORE-0010,2023-05-09,2023-05-10,27
PO-0095,WH-0002,STORE-0003,2023-12-01,2023-12-02,45
PO-0095,WH-0002,STORE-0006,2023-12-04,2023-12-04,11
PO-0095,WH-0002,STORE-0007,2023-12-07,2023-12-09,20
PO-0096,WH-0002,STORE-0003,2024-06-28,2024-06-30,130
PO-0096,WH-0002,STORE-0002,2024-06-28,2024-06-30,134
PO-0096,WH-0002,STORE-0006,2024-07-01,2024-07-03,29
PO-0097,WH-0003,STORE-0007,2024-06-21,2024-06-21,167
PO-0097,WH-0003,STORE-0010,2024-06-21,2024-06-22,140
PO-0098,WH-0001,STORE-0001,2023-03-02,2023-03-02,179
PO-0098,WH-0001,STORE-0003,2023-03-03,2023-03-05,25
PO-0099,WH-0002,STORE-0003,2023-03-16,2023-03-17,268
PO-0100,WH-0001,STORE-0008,2024-04-05,2024-04-05,157
PO-0100,WH-0001,STORE-0006,2024-04-06,2024-04-07,57
PO-0101,WH-0002,STORE-0002,2023-05-19,2023-05-21,186
PO-0101,WH-0002,STORE-0010,2023-05-19,2023-05-21,144
PO-0102,WH-0003,STORE-0001,2024-07-05,2024-07-06,359
PO-0103,WH-0002,STORE-0009,2023-05-13,2023-05-14,419
PO-0104,WH-0002,STORE-0007,2024-04-13,2024-04-15,130
PO-0104,WH-0002,STORE-0006,2024-04-16,2024-04-18,343
PO-0105,WH-0001,STORE-0009,2023-04-17,2023-04-17,232
