po_id,product_id,store_id,expire_date,expired_qty,cost_per_unit,loss_value_thb,reason
PO-0002,SKU-0059,STORE-0005,2023-05-27,5,21.47,107.35,no_markdown_applied
PO-0003,SKU-0079,STORE-0004,2024-08-29,12,5.67,68.04,no_markdown_applied
PO-0004,SKU-0076,STORE-0004,2024-05-13,12,71.61,859.32,late_markdown
PO-0005,SKU-0058,STORE-0005,2023-04-19,12,28.79,345.48,no_markdown_applied
PO-0006,SKU-0064,STORE-0003,2024-02-07,5,71.71,358.55,demand_lower_than_expected
PO-0007,SKU-0034,STORE-0005,2024-08-12,1,8.93,8.93,no_markdown_applied
PO-0008,SKU-0067,STORE-0006,2023-11-19,6,10.54,63.24,no_markdown_applied
PO-0009,SKU-0031,STORE-0002,2024-08-28,44,51.38,2260.72,late_markdown
PO-0011,SKU-0075,STORE-0004,2023-11-12,4,46.13,184.52,late_markdown
PO-0012,SKU-0071,STORE-0004,2024-01-10,5,43.43,217.15,no_markdown_applied
PO-0013,SKU-0030,STORE-0001,2023-10-25,2,14.51,29.02,late_markdown
PO-0014,SKU-0024,STORE-0009,2024-05-15,1,22.25,22.25,no_markdown_applied
PO-0015,SKU-0068,STORE-0005,2023-12-23,2,41.9,83.8,no_markdown_applied
PO-0016,SKU-0047,STORE-0009,2023-07-31,1,7.13,7.13,demand_lower_than_expected
PO-0017,SKU-0006,STORE-0010,2024-07-11,3,80.21,240.63,no_markdown_applied
PO-0018,SKU-0063,STORE-0001,2023-05-29,8,9.27,74.16,demand_lower_than_expected
PO-0019,SKU-0057,STORE-0007,2023-11-27,2,6.69,13.38,no_markdown_applied
PO-0020,SKU-0009,STORE-0001,2023-10-09,28,46.54,1303.12,late_markdown
PO-0021,SKU-0073,STORE-0002,2023-03-14,18,6.32,113.76,demand_lower_than_expected
PO-0022,SKU-0054,STORE-0004,2023-07-11,3,8.24,24.72,demand_lower_than_expected
PO-0023,SKU-0049,STORE-0010,2023-10-03,19,43.27,822.13,demand_lower_than_expected
PO-0024,SKU-0080,STORE-0009,2024-03-28,6,54.69,328.14,late_markdown
PO-0025,SKU-0028,STORE-0006,2023-05-26,2,10.74,21.48,late_markdown
PO-0026,SKU-0010,STORE-0001,2023-11-06,2,14.02,28.04,no_markdown_applied
PO-0027,SKU-0030,STORE-0002,2024-05-16,5,14.42,72.1,no_markdown_applied
PO-0028,SKU-0030,STORE-0001,2024-04-26,5,14.92,74.6,no_markdown_applied
PO-0029,SKU-0070,STORE-0003,2023-08-06,4,55.63,222.52,late_markdown
PO-0030,SKU-0022,STORE-0009,2023-06-12,39,4.29,167.31,no_markdown_applied
PO-0031,SKU-0016,STORE-0009,2025-02-07,12,20.03,240.36,demand_lower_than_expected
PO-0032,SKU-0070,STORE-0008,2024-03-01,10,50.43,504.3,late_markdown
PO-0033,SKU-0042,STORE-0004,2023-03-04,4,6.94,27.76,late_markdown
PO-0034,SKU-0074,STORE-0008,2023-10-04,3,22.32,66.96,late_markdown
PO-0035,SKU-0023,STORE-0005,2023-12-13,28,78.93,2210.04,no_markdown_applied
PO-0036,SKU-0056,STORE-0007,2023-12-15,3,15.09,45.27,demand_lower_than_expected
PO-0037,SKU-0043,STORE-0003,2025-05-03,10,84.56,845.6,no_markdown_applied
PO-0038,SKU-0064,STORE-0006,2023-12-19,2,84.28,168.56,demand_lower_than_expected
PO-0039,SKU-0012,STORE-0003,2025-07-19,4,41.22,164.88,no_markdown_applied
PO-0040,SKU-0001,STORE-0008,2024-04-28,10,42.6,426.0,no_markdown_applied
PO-0041,SKU-0067,STORE-0004,2024-03-31,7,13.89,97.23,no_markdown_applied
PO-0042,SKU-0027,STORE-0008,2024-04-18,11,80.06,880.66,late_markdown
PO-0043,SKU-0016,STORE-0003,2024-10-03,3,22.52,67.56,late_markdown
PO-0044,SKU-0040,STORE-0002,2024-03-14,5,10.09,50.45,demand_lower_than_expected
PO-0045,SKU-0015,STORE-0005,2023-04-18,12,31.2,374.4,demand_lower_than_expected
PO-0046,SKU-0038,STORE-0009,2023-06-23,3,39.77,119.31,no_markdown_applied
PO-0047,SKU-0059,STORE-0004,2024-06-17,1,21.37,21.37,no_markdown_applied
PO-0048,SKU-0018,STORE-0002,2024-06-24,17,37.15,631.55,demand_lower_than_expected
PO-0049,SKU-0035,STORE-0005,2024-02-27,6,27.64,165.84,demand_lower_than_expected
PO-0050,SKU-0063,STORE-0010,2023-11-20,20,6.56,131.2,demand_lower_than_expected
PO-0051,SKU-0071,STORE-0003,2024-05-31,19,47.69,906.11,no_markdown_applied
PO-0052,SKU-0031,STORE-0002,2024-05-29,28,49.08,1374.24,no_markdown_applied
PO-0053,SKU-0061,STORE-0009,2023-04-22,22,15.71,345.62,late_markdown
PO-0054,SKU-0020,STORE-0003,2024-02-19,2,9.62,19.24,no_markdown_applied
PO-0055,SKU-0013,STORE-0007,2024-06-23,15,54.4,816.0,no_markdown_applied
PO-0056,SKU-0019,STORE-0002,2024-07-31,3,30.27,90.81,no_markdown_applied
PO-0057,SKU-0034,STORE-0005,2024-03-26,2,10.56,21.12,late_markdown
