date,region,temp_max_c,precipitation_mm,is_hot_day,is_rainy_day
2023-01-01,Bangkok,25.2,1.5,False,False
2023-01-02,Bangkok,26.0,0.5,False,False
2023-01-03,Bangkok,26.1,5.1,False,False
2023-01-04,Bangkok,28.3,0.5,False,False
2023-01-05,Bangkok,27.2,5.8,False,False
2023-01-06,Bangkok,29.1,5.6,False,False
2023-01-07,Bangkok,26.7,7.5,False,False
2023-01-08,Bangkok,30.1,2.1,False,False
2023-01-09,Bangkok,22.4,1.1,False,False
2023-01-10,Bangkok,26.7,7.1,False,False
2023-01-11,Bangkok,25.6,1.1,False,False
2023-01-12,Bangkok,25.3,0.5,False,False
2023-01-13,Bangkok,27.5,1.3,False,False
2023-01-14,Bangkok,27.3,1.2,False,False
2023-01-15,Bangkok,28.4,1.0,False,False
2023-01-16,Bangkok,26.8,0.8,False,False
2023-01-17,Bangkok,28.3,0.1,False,False
2023-01-18,Bangkok,29.6,1.2,False,False
2023-01-19,Bangkok,26.6,0.1,False,False
2023-01-20,Bangkok,27.4,1.4,False,False
2023-01-21,Bangkok,24.5,3.2,False,False
2023-01-22,Bangkok,26.9,0.8,False,False
2023-01-23,Bangkok,30.3,3.0,False,False
2023-01-24,Bangkok,28.0,0.5,False,False
2023-01-25,Bangkok,26.5,0.8,False,False
2023-01-26,Bangkok,29.2,5.5,False,False
2023-01-27,Bangkok,27.8,1.9,False,False
2023-01-28,Bangkok,27.1,1.4,False,False
2023-01-29,Bangkok,26.5,0.8,False,False
2023-01-30,Bangkok,27.7,0.1,False,False
2023-01-31,Bangkok,32.2,1.1,False,False
2023-02-01,Bangkok,31.5,0.7,False,False
2023-02-02,Bangkok,30.4,0.4,False,False
2023-02-03,Bangkok,28.4,2.0,False,False
2023-02-04,Bangkok,24.9,3.2,False,False
2023-02-05,Bangkok,30.0,5.2,False,False
2023-02-06,Bangkok,32.8,0.9,False,False
2023-02-07,Bangkok,30.1,3.4,False,False
2023-02-08,Bangkok,30.2,2.4,False,False
2023-02-09,Bangkok,30.4,2.1,False,False
2023-02-10,Bangkok,31.0,0.6,False,False
2023-02-11,Bangkok,30.5,0.6,False,False
2023-02-12,Bangkok,31.7,0.5,False,False
2023-02-13,Bangkok,27.1,0.9,False,False
2023-02-14,Bangkok,27.4,0.3,False,False
2023-02-15,Bangkok,30.9,1.2,False,False
2023-02-16,Bangkok,27.2,0.6,False,False
2023-02-17,Bangkok,33.0,0.3,False,False
2023-02-18,Bangkok,32.3,0.1,False,False
2023-02-19,Bangkok,30.8,0.2,False,False
2023-02-20,Bangkok,27.5,4.4,False,False
2023-02-21,Bangkok,29.1,0.7,False,False
2023-02-22,Bangkok,31.3,0.9,False,False
2023-02-23,Bangkok,28.4,4.2,False,False
2023-02-24,Bangkok,26.7,0.9,False,False
2023-02-25,Bangkok,31.1,0.2,False,False
2023-02-26,Bangkok,24.8,0.7,False,False
2023-02-27,Bangkok,29.0,0.1,False,False
2023-02-28,Bangkok,28.4,1.4,False,False
2023-03-01,Bangkok,35.6,16.4,True,True
